,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
58,1,2.0,6.0,12,868,screen,ESACC,6.0,200.15256680842242,191.20543925317608,1300.8785685066841,1301.2545946124455,1343.376734203775,1352.4553671008887,study,False,False,858,screen,4.0,409,4,540.0,1660.0,1660.0,362.4,360.4,650.0,650.0,210.0,557.7,584.4
59,1,2.0,6.0,158,1026,,EFIX,6.0,,212.72463421052112,,1305.8773947044185,,1341.9045308813886,study,False,False,870,screen,4.0,409,4,540.0,1660.0,1660.0,,358.9,650.0,650.0,210.0,,538.4
60,1,2.0,6.0,72,1098,obj2end,ESACC,6.0,1012.682956309624,210.13721707493892,122.73047706254556,1304.6860350291176,398.5658916666101,1341.8933079794383,study,False,False,1028,screen,4.0,409,4,540.0,1660.0,1660.0,1551.1,359.8,650.0,650.0,210.0,593.4,541.9
61,1,2.0,6.0,172,1270,,EFIX,6.0,,1036.5778359583037,,107.76646045964395,,384.0385527521944,study,False,False,1100,obj2start,4.0,409,4,540.0,1660.0,1660.0,,1574.5,650.0,650.0,210.0,,584.4
62,1,2.0,6.0,12,1282,obj2end,ESACC,6.0,1073.736396887057,1046.9227526422376,83.22169188378722,102.68032917750128,375.4328834825207,377.89846519931774,study,False,False,1272,obj2start,4.0,409,4,540.0,1660.0,1660.0,1611.6,1584.6,650.0,650.0,210.0,582.3,580.3
63,1,2.0,6.0,576,1858,,EFIX,6.0,,1090.398422596071,,70.0337061706719,,378.70400050699226,study,False,False,1284,obj2start,4.0,409,4,540.0,1660.0,1660.0,,1628.6,650.0,650.0,210.0,,587.4
64,1,2.0,6.0,42,1900,obj3end,ESACC,6.0,1156.0360721015586,1090.2928505681398,493.7078083239113,69.98928489418934,86.92180393894277,378.81195862855225,study,False,False,1860,obj2start,4.0,409,4,540.0,1660.0,1660.0,1587.8,1628.5,650.0,650.0,210.0,161.6,587.5
65,1,2.0,6.0,1120,3020,,EFIX,6.0,,1125.3385001856109,,495.5993744951662,,113.39638442207931,study,False,False,1902,obj3start,4.0,409,4,540.0,1660.0,1660.0,,1555.7,650.0,650.0,210.0,,165.5
66,1,2.0,6.0,38,3058,screen,ESACC,6.0,1126.8385731771875,1115.5176735489222,262.4903236311769,470.2634155449476,180.19203645000522,104.89842706161046,study,False,False,3022,obj3start,4.0,409,4,540.0,1660.0,1660.0,1636.1,1556.8,650.0,650.0,210.0,388.6,191.2
67,1,2.0,6.0,158,3216,,EFIX,6.0,,1119.6476454670908,,250.20561544457792,,193.4808776080985,study,False,False,3060,screen,4.0,409,4,540.0,1660.0,1660.0,,1631.7,650.0,650.0,210.0,,401.4
68,1,2.0,6.0,28,3244,obj2end,ESACC,6.0,1064.9746381956709,1116.7592623300689,82.33456139435013,245.7625886907932,384.50355004863087,198.41181920440124,study,False,False,3218,screen,4.0,409,4,540.0,1660.0,1660.0,1603.3,1629.8,650.0,650.0,210.0,590.3,406.1
69,1,2.0,6.0,640,3884,,EFIX,6.0,,1069.8750581259478,,63.440050441341825,,405.1970384886839,study,False,False,3246,obj2start,4.0,409,4,540.0,1660.0,1660.0,,1609.2,650.0,650.0,210.0,,612.0
70,1,2.0,6.0,68,3952,obj1end,ESACC,6.0,34.121693979050946,1061.4734523293553,1147.6777814351901,66.97678702356514,1221.8789997376991,412.54077374242655,study,False,False,3886,obj2start,4.0,409,4,540.0,1660.0,1660.0,512.5,1601.0,650.0,650.0,210.0,629.8,618.3
71,1,2.0,6.0,62,4014,,EFIX,6.0,,71.32811507393143,,1180.9147725386451,,1246.8487077428438,study,False,False,3954,obj1start,4.0,409,4,540.0,1660.0,1660.0,,479.7,650.0,650.0,210.0,,611.9
72,1,2.0,8.0,254,256,,EFIX,8.0,,108.02059988724368,,325.1775668769295,,326.8217404029297,study,True,False,4,obj1start,5.0,409,5,820.0,820.0,540.0,,849.9,430.0,210.0,430.0,,533.8
73,1,2.0,8.0,24,280,obj1end,ESACC,8.0,74.10964849464614,109.33732208171187,258.17095111572877,327.03310230005764,213.77614459990616,324.94099464364297,study,True,False,258,obj1start,5.0,409,5,820.0,820.0,540.0,751.8,847.2,430.0,210.0,430.0,459.0,535.9
74,1,2.0,8.0,302,582,,EFIX,8.0,,100.3837636273914,,238.06070654352007,,179.74676631305505,study,True,False,282,obj1start,5.0,409,5,820.0,820.0,540.0,,719.7,430.0,210.0,430.0,,425.9
75,1,2.0,8.0,32,614,obj2end,ESACC,8.0,277.8167021616951,116.44711245883254,125.88137272845412,220.01802198910883,295.0222364500683,170.50492661503952,study,True,False,584,obj1start,5.0,409,5,820.0,820.0,540.0,697.6,707.7,430.0,210.0,430.0,180.6,399.2
76,1,2.0,8.0,794,1408,,EFIX,8.0,,321.9386587534961,,147.21582795338279,,333.9767956011316,study,True,False,616,obj2start,5.0,409,5,820.0,820.0,540.0,,694.1,430.0,210.0,430.0,,133.7
77,1,2.0,8.0,124,1532,obj1end,ESACC,8.0,139.57306330377645,295.8483564260583,145.74168929993914,141.83881697194178,216.8700993682624,300.4500790480841,study,True,False,1410,obj2start,5.0,409,5,820.0,820.0,540.0,729.2,684.9,430.0,210.0,430.0,324.0,166.8
78,1,2.0,8.0,210,1742,,EFIX,8.0,,137.24875227119554,,161.000683228364,,202.93156481927593,study,True,False,1534,obj1start,5.0,409,5,820.0,820.0,540.0,,719.9,430.0,210.0,430.0,,336.1
